city,timestamp,temperature,season
New York,2010-01-01,-7.490243713856557,winter
New York,2010-01-02,-7.909217818694794,winter
New York,2010-01-03,0.5252787151437017,winter
New York,2010-01-04,-6.246554970819236,winter
New York,2010-01-05,4.089049979582516,winter
New York,2010-01-06,4.35228055782993,winter
New York,2010-01-07,1.6389020948818072,winter
New York,2010-01-08,4.777841145061711,winter
New York,2010-01-09,-4.720904167594783,winter
New York,2010-01-10,-3.236090234452681,winter
New York,2010-01-11,-7.6566407866353465,winter
New York,2010-01-12,5.62032263022016,winter
New York,2010-01-13,-1.0307965560004293,winter
New York,2010-01-14,-3.6037572017307404,winter
New York,2010-01-15,4.055460667814609,winter
New York,2010-01-16,-3.5212997409533893,winter
New York,2010-01-17,2.8744222981644896,winter
New York,2010-01-18,5.328047570601625,winter
New York,2010-01-19,1.9727908916902286,winter
New York,2010-01-20,-0.8752212858916298,winter
New York,2010-01-21,-3.9779640598099113,winter
New York,2010-01-22,2.615670397526988,winter
New York,2010-01-23,5.1187973920153045,winter
New York,2010-01-24,2.2600786606613528,winter
New York,2010-01-25,4.340391008331789,winter
New York,2010-01-26,1.4349826860601778,winter
New York,2010-01-27,-4.284546220504896,winter
New York,2010-01-28,2.6675712764922803,winter
New York,2010-01-29,2.0430319302556703,winter
New York,2010-01-30,-3.494464884126023,winter
New York,2010-01-31,1.475012129813353,winter
New York,2010-02-01,1.71366257493252,winter
New York,2010-02-02,-0.4449231936708551,winter
New York,2010-02-03,6.340897533982276,winter
New York,2010-02-04,4.51059486504921,winter
New York,2010-02-05,-0.1012319613475441,winter
New York,2010-02-06,9.600628070240871,winter
New York,2010-02-07,1.6194155674029684,winter
New York,2010-02-08,1.7799894449238016,winter
New York,2010-02-09,-7.463848595257858,winter
New York,2010-02-10,-3.2112398981755836,winter
New York,2010-02-11,4.232751476697335,winter
New York,2010-02-12,-1.4343878254869566,winter
New York,2010-02-13,-10.064718711911523,winter
New York,2010-02-14,11.499460908091883,winter
New York,2010-02-15,-5.0631500394804,winter
New York,2010-02-16,-2.1061196943825324,winter
New York,2010-02-17,0.33204168001661916,winter
New York,2010-02-18,-1.7026439612239006,winter
New York,2010-02-19,-1.945744035231839,winter
New York,2010-02-20,1.7405432811424548,winter
New York,2010-02-21,3.8578190785624713,winter
New York,2010-02-22,-8.958784157469553,winter
New York,2010-02-23,2.6314195260527793,winter
New York,2010-02-24,2.729860405380207,winter
New York,2010-02-25,0.3476917634950797,winter
New York,2010-02-26,-12.760991623550481,winter
New York,2010-02-27,2.742007933201525,winter
New York,2010-02-28,-0.9103591616946738,winter
New York,2010-03-01,10.423942041406601,spring
New York,2010-03-02,-0.43860897952353284,spring
New York,2010-03-03,19.61679098034204,spring
New York,2010-03-04,7.942812136983033,spring
New York,2010-03-05,8.923246090372725,spring
New York,2010-03-06,20.175551024311332,spring
New York,2010-03-07,7.859934268567956,spring
New York,2010-03-08,0.09483023907315413,spring
New York,2010-03-09,6.472351308251376,spring
New York,2010-03-10,5.425487414520197,spring
New York,2010-03-11,3.1033649570122606,spring
New York,2010-03-12,5.872264364252088,spring
New York,2010-03-13,5.6862113343058205,spring
New York,2010-03-14,-1.816899522799238,spring
New York,2010-03-15,8.768257598156437,spring
New York,2010-03-16,14.943158339355609,spring
New York,2010-03-17,8.820908778121918,spring
New York,2010-03-18,7.3560189543803,spring
New York,2010-03-19,7.163499329663907,spring
New York,2010-03-20,16.017310794053035,spring
New York,2010-03-21,8.664612037665147,spring
New York,2010-03-22,8.430587928302819,spring
New York,2010-03-23,7.141922962436,spring
New York,2010-03-24,11.119227412106873,spring
New York,2010-03-25,11.140096443087703,spring
New York,2010-03-26,3.784995323420908,spring
New York,2010-03-27,5.647060204825032,spring
New York,2010-03-28,9.782345691233937,spring
New York,2010-03-29,15.84605549857508,spring
New York,2010-03-30,11.979894632277352,spring
New York,2010-03-31,12.67998514872578,spring
New York,2010-04-01,12.564989679838007,spring
New York,2010-04-02,8.288992818605227,spring
New York,2010-04-03,9.4751323073035,spring
New York,2010-04-04,11.992812148502644,spring
New York,2010-04-05,9.880699376935365,spring
New York,2010-04-06,15.613380856355212,spring
New York,2010-04-07,2.2666665992446866,spring
New York,2010-04-08,10.28436718664818,spring
New York,2010-04-09,13.821247757584773,spring
